tweet,tokenized_sents,clean_english,negPos,pol
Kullanc adm kraladam Tahminim Fenerbahe Galatasaray deniz,['Kullanc adm kraladam Tahminim Fenerbahe Galatasaray deniz'],Username is kingman My guess is Fenerbahe Galatasaray sea,Neutral,0.0
sezer t Gnaydn hayrl gnler ASL Fenerbahe cumhuriyeti,['sezer t Gnaydn hayrl gnler ASL Fenerbahe cumhuriyeti'],Sezer t Gnayd have a good day ASL Fenerbahe republic,Positive,0.7
Bu kadar favori iken hi kazanamadk .. nallah yanlrm..,['Bu kadar favori iken hi kazanamadk .. nallah yanlrm..'],We never won when we were such a favorite.. I hope I'm wrong..,Neutral,0.0
Fenerbahe li olan MUSTAFA KEMAL mi,['Fenerbahe li olan MUSTAFA KEMAL mi'],Is it MUSTAFA KEMAL from Fenerbahe?,Neutral,0.0
Futbolun Heyecan Yaanr Derbiye zel evrimsiz Bonus le Kazanmaya Kaldnz Yerden Devam Edin e Efsanenin Adresine Sizde Katln Giri Adresimiz,['Futbolun Heyecan Yaanr Derbiye zel evrimsiz Bonus le Kazanmaya Kaldnz Yerden Devam Edin e Efsanenin Adresine Sizde Katln Giri Adresimiz'],Football's Excitement Continue with Derby-Specific Non-Evolutionary Bonus from Where You Left to Win and Join the Legend's Address Our Login Address,Positive,0.4
len iin sabrszlkla bekliyorum,['len iin sabrszlkla bekliyorum'],I am impatiently waiting for you,Negative,-0.2
Fenerbahe Galatasaray,['Fenerbahe Galatasaray'],Fenerbahe Galatasaray,Neutral,0.0
Geldik,['Geldik'],We came,Neutral,0.0
Galatasaray alr,['Galatasaray alr'],Galatasaray buys,Neutral,0.0
Ayn ziyaret Fenerbahe ye yaplsayd lam medya dan u anda salyalar akyordu,['Ayn ziyaret Fenerbahe ye yaplsayd lam medya dan u anda salyalar akyordu'],"If the same visit was made to Fenerbahe, the media would be drooling right now.",Positive,0.14285714285714285
Yarn ma kaybedersek byle taklrm ay boyunca .,['Yarn ma kaybedersek byle taklrm ay boyunca .'],"If we lose tomorrow, I will hang out like this all month long.",Negative,-0.05
Fenerbahe ozturk,['Fenerbahe ozturk'],Fenerbahe ozturk,Neutral,0.0
numara gol atar.. On numara umuttur ... numara zmdr.. On numara karakterdir.. On numara sorumluluktur kaptandr.. Ksaca candr Fenerbahce Fenerbahce,['numara gol atar.. On numara umuttur ... numara zmdr.. On numara karakterdir.. On numara sorumluluktur kaptandr.. Ksaca candr Fenerbahce Fenerbahce'],"number ten scores.. number ten is hope ... number number is solution.. number ten is character.. number ten is responsibility, captain.. in short, candr Fenerbahce Fenerbahce",Neutral,0.0
Bein Sport eski FBGS malarn gsteriyor . Hep Fener kazanm acayip..,"['Bein Sport eski FBGS malarn gsteriyor .', 'Hep Fener kazanm acayip..']",Bein Sport is showing old FBGS goods. It's weird that I always win Lantern..,Positive,0.13333333333333333
Kim ok gzel duruyormu anlamadm,['Kim ok gzel duruyormu anlamadm'],I don't understand who looks so beautiful,Positive,0.85
FBGS Fenerbahe kazanr .,['FBGS Fenerbahe kazanr .'],FBGS Fenerbahe wins.,Positive,0.3
BGL Fenerbahe Beko Pnar Karyaka e,['BGL Fenerbahe Beko Pnar Karyaka e'],BGL Fenerbahe Beko Pnar Karyaka,Neutral,0.0
Fazla lafa gerek yok bence,['Fazla lafa gerek yok bence'],I don't think much need to be said.,Positive,0.2
Fenerbahe li mi olalim Beiktaa gelin ltfen,['Fenerbahe li mi olalim Beiktaa gelin ltfen'],"Let's be from Fenerbahe, please come to Beikta",Neutral,0.0
Aglasaydniz bide tebrik yok baar dilei yok zmir maryla sizi Ugurlucaz,['Aglasaydniz bide tebrik yok baar dilei yok zmir maryla sizi Ugurlucaz'],"If you cried, no congratulations, no wish for success",Positive,0.3
Evettttttt koooooo alcam,['Evettttttt koooooo alcam'],Yestttttt koooooo I'll buy it,Neutral,0.0
Fenerbahe kazanr serdar dursun gol atar krmz kart olur,['Fenerbahe kazanr serdar dursun gol atar krmz kart olur'],"Fenerbahe will win, let the serdar stand, score a goal, red card will be",Positive,0.4
Fenerbahe gamzzee,['Fenerbahe gamzzee'],Fenerbahe gamzzee,Neutral,0.0
Fenerbahe,['Fenerbahe'],Fenerbahe,Neutral,0.0
gn nce yksek bir bedelli bir sipari geeceiz firma yetkilisi mesaj gnderdi ben cevapladm . iMessage gitmi . Tabi giderken email adresi gidiyor . A Fenerbahe kongre yesi misiniz email adresiniz falan dedi . Maksat scak bir hava estirmek tabi adamnki,"['gn nce yksek bir bedelli bir sipari geeceiz firma yetkilisi mesaj gnderdi ben cevapladm .', 'iMessage gitmi .', 'Tabi giderken email adresi gidiyor .', 'A Fenerbahe kongre yesi misiniz email adresiniz falan dedi .', 'Maksat scak bir hava estirmek tabi adamnki']","We will pass an order with a high price the day before, a company representative sent a message and I replied. Is iMessage gone? Of course, the e-mail address goes. He said, ""Are you a member of Fenerbahe congress, your e-mail address or something."" The purpose is to blow a warm air, of course, the man's",Positive,0.38
tm FENERBAHE Aklarnn yznn glecei bir gn olsunnn.. konu kilit .,['tm FENERBAHE Aklarnn yznn glecei bir gn olsunnn.. konu kilit .'],All FENERBAHE Let it be a day when your hearts will be happy.. topic is locked .,Positive,0.8
kii Galatasaray yenmi .,['kii Galatasaray yenmi .'],Did Galatasaray win?,Positive,0.8
Gnaydn Byk Fenerbahe Taraftar,['Gnaydn Byk Fenerbahe Taraftar'],Gnaydn Byk Fenerbahe Fan,Neutral,0.0
Hahaha hi gleceim yoktu yllardr hakk yenilen Fenerbaheye kar biriniz sesinizi kardnz m yok ka ampiyonluumuzu aldnz aldrdnz zaman bizde size diyoruz beter olun .,['Hahaha hi gleceim yoktu yllardr hakk yenilen Fenerbaheye kar biriniz sesinizi kardnz m yok ka ampiyonluumuzu aldnz aldrdnz zaman bizde size diyoruz beter olun .'],"Hahaha I had no regrets . Did anyone of you lose your voice against Fenerbahe , who had been defeated for years .",Positive,0.125
Bugn gnlerden FENERBAHE,['Bugn gnlerden FENERBAHE'],FENERBAHE from today,Neutral,0.0
fenerbahce kazansn nedense sene gs den nefret edyorum,['fenerbahce kazansn nedense sene gs den nefret edyorum'],Fenerbahce wins for some reason I hate GS,Negative,-0.25
,[],,Neutral,0.0
Haydi kzlar kupa bizim saldr Fenerbahe nKralieleri,['Haydi kzlar kupa bizim saldr Fenerbahe nKralieleri'],"Come on girls, the cup is our attack, Fenerbahe nKings",Neutral,0.0
Son puan degil son puan . Trabzonspor Fenerbahe Konyaspor a kar Li averajda nde . Fenerbahe iin son Konyaspor iin son puan,"['Son puan degil son puan .', 'Trabzonspor Fenerbahe Konyaspor a kar Li averajda nde .', 'Fenerbahe iin son Konyaspor iin son puan']",The final score is not the final score. Trabzonspor Fenerbahe Konyaspor against Li in the average. Last point for Fenerbahe Last point for Konyaspor,Negative,-0.03
gnn karlamas QR Cepbank yatrmlarnza spor bonusu Ekstra evrimsiz bahis kombine bonusu Bahis kumbara zellii Gncel giri iin e,['gnn karlamas QR Cepbank yatrmlarnza spor bonusu Ekstra evrimsiz bahis kombine bonusu Bahis kumbara zellii Gncel giri iin e'],welcome of the day QR Sports bonus for your Cepbank deposits Extra no evolution bet combination bonus Betting piggy bank feature Equivalent for current login,Positive,0.26666666666666666
Fenerbahe ff,['Fenerbahe ff'],Fenerbahe ff,Neutral,0.0
Fenerbahe anann am,['Fenerbahe anann am'],I am your mother in Fenerbahe,Neutral,0.0
,[],,Neutral,0.0
fenerbahce kadin basketbol takimi kere f final oynadi hicbirinde sampiyon olamadi harbiden yapilan yatirimlara yazik,['fenerbahce kadin basketbol takimi kere f final oynadi hicbirinde sampiyon olamadi harbiden yapilan yatirimlara yazik'],"fenerbahce women's basketball team played f final once, never won a champion, really pity for the investments made",Negative,-0.05
ok umrundayd fenerin . Maal trol seni . Ala kudur uur Dndar grnce nasl kuduruyorsubuz,"['ok umrundayd fenerin .', 'Maal trol seni .', 'Ala kudur uur Dndar grnce nasl kuduruyorsubuz']",ok you cared about your lantern . Maal troll you. Ala mad uur How do we get angry when Dndar sees,Negative,-0.20833333333333334
Heyecan yksek hedefi derbi Spor Toto Sper Ligin . haftasnda karlaacak Fenerbahe Galatasaray . randevuda kar karya gelecek . Peki Fenerbahe Galatasaray mann sonucunda hangi takm stnlk salayacak,"['Heyecan yksek hedefi derbi Spor Toto Sper Ligin .', 'haftasnda karlaacak Fenerbahe Galatasaray .', 'randevuda kar karya gelecek .', 'Peki Fenerbahe Galatasaray mann sonucunda hangi takm stnlk salayacak']","The high goal of excitement is the derby Spor Toto Sper League. Fenerbahe Galatasaray will meet in the week. Snow will come at the appointment. Well, which team will prevail as a result of Fenerbahe Galatasaray mann",Positive,0.16
O kadar eziksiniz yldz hazmedemediinizden kendi yldzlarnzdan vazgetiniz .,['O kadar eziksiniz yldz hazmedemediinizden kendi yldzlarnzdan vazgetiniz .'],"You are such a loser , you can not digest the star , give up your own stars .",Positive,0.3
GIFi durdur Fenerbahe Galatasaray derbisinin sonucunu belirle,['GIFi durdur Fenerbahe Galatasaray derbisinin sonucunu belirle'],Stop GIF Determine the outcome of Fenerbahe Galatasaray derby,Neutral,0.0
O zaman Fenerbahe Lig ba guzel balang yapmisti,['O zaman Fenerbahe Lig ba guzel balang yapmisti'],"At that time, the Fenerbahe League made a good start.",Positive,0.7
mrikleri havlamaya devam mostofa olmasa bile Gomis devam,['mrikleri havlamaya devam mostofa olmasa bile Gomis devam'],Gomis keep barking even if mostofa isn't,Neutral,0.0
Fenerbahe Safiport EuroLeague Women Final Four finalinde Sopron Basket e,['Fenerbahe Safiport EuroLeague Women Final Four finalinde Sopron Basket e'],Fenerbahe Safiport defeated Sopron Basket in the EuroLeague Women's Final Four final.,Neutral,0.0
Trabzon haftaya yenersek Konya haftaya yenemezse iyi Fenerbahe haftada puan alrsa haftaya ampiyonuz,['Trabzon haftaya yenersek Konya haftaya yenemezse iyi Fenerbahe haftada puan alrsa haftaya ampiyonuz'],"If we beat Trabzon next week, if Konya can't beat next week, good if Fenerbahe gets points next week, we're champions next week.",Positive,0.13999999999999999
te kardmz bugn alrz inallah . Gururumuz Fenerbahe Kadn Basketbol,"['te kardmz bugn alrz inallah .', 'Gururumuz Fenerbahe Kadn Basketbol']","I hope we get it today, inshallah. Our Pride Fenerbahe Women's Basketball",Neutral,0.0
Fenerbahe,['Fenerbahe'],Fenerbahe,Neutral,0.0
Atatrk n aday abi,['Atatrk n aday abi'],Atatrk n candidate brother,Neutral,0.0
survivor yeni sezon hazirliklarina baslamis ondan yok,['survivor yeni sezon hazirliklarina baslamis ondan yok'],"survivor has started the preparations for the new season, he is gone",Positive,0.13636363636363635
Fenerbahe Galatasaray mana kuzey alttan biletim var gidemiyecem dm,['Fenerbahe Galatasaray mana kuzey alttan biletim var gidemiyecem dm'],"Fenerbahe Galatasaray mana north, I have a ticket from the bottom, I can't go dm",Neutral,0.0
Fenerbahe,['Fenerbahe'],Fenerbahe,Neutral,0.0
Fenerbahe Galatasaray,['Fenerbahe Galatasaray'],Fenerbahe Galatasaray,Neutral,0.0
,[],,Neutral,0.0
Fenerbahenin gereksiz puan kayplarn hi hesaba katmadan sadece malar hakkyla ynetilseydi bizi lig sonunda bambaka bir son bekliyor olacakt .,['Fenerbahenin gereksiz puan kayplarn hi hesaba katmadan sadece malar hakkyla ynetilseydi bizi lig sonunda bambaka bir son bekliyor olacakt .'],"If Fenerbahe had been managed with the right of matches without taking into account the unnecessary loss of points, a completely different ending would have been waiting for us at the end of the league.",Negative,-0.038095238095238106
bugun gunlerden FENERBAHCE,['bugun gunlerden FENERBAHCE'],today is Fenerbahce,Neutral,0.0
ADET FENERUM UST SATILIR QR DEVRL SOM FYAT SON ADET,['ADET FENERUM UST SATILIR QR DEVRL SOM FYAT SON ADET'],UNIT FENERUM TOP SOLD QR TRANSFER SOLE PRICE LAST QTY,Positive,0.16666666666666666
,[],,Neutral,0.0
ulan zihinsel yaa baklsa saatte deliririm maa girmek iin yle bir ma,['ulan zihinsel yaa baklsa saatte deliririm maa girmek iin yle bir ma'],"Judging by the mental age reached, I would go crazy in the hour.",Negative,-0.35
,[],,Neutral,0.0
FenerbaheGalatasaray,['FenerbaheGalatasaray'],FenerbaheGalatasaray,Neutral,0.0
